Durumu;Stok Kodu;Stok Adı;Üretim Kodu;Üretim Adı;Planlama Miktarı;Şube Kodu;Kaydeden;Kayıt Tarihi;Değiştiren;Değiştirme Tarihi;Ticari Ünvanı;Teslim Tarihi;Adı Soyadı
;st0000020;OVA UN ;0,01;0;KG;0,01;KG;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000309;LİMON;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000310;LOLOROSO ADET ;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;ST00304;ROKA;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00049;KÖFTE DÜRÜM;BUR00084;KÖFTE DÜRÜM;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000454;KÖFTE;0,12;0;KİLOGRAM;0,12;KİLOGRAM;MERKEZ;;;;;
;st0000057;TORTİLLA LAVAŞ 12 Lİ;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000314;ÇERY DOMATES;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000310;LOLOROSO ADET ;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;ST00304;ROKA;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;st0000302;MAYDONOZ;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000443;BURGER PEYNİRİ 1000 G;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00040;PATATES KIZARTMASI;BUR00085;PATATES KIZARTMASI;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,3;0;KİLOGRAM;0,3;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,045;0;LİTRE;0,045;LİTRE;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,007;0;ADET;0,007;ADET;MERKEZ;;;;;
;st0000006;HEINZ KETÇAP P.P SACHET;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000007;HEINZ MAYONEZ P.P SACHET;1;0;ADET;1;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00053;IZGARA KÖFTE;BUR00088;IZGARA KÖFTE;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000454;KÖFTE;0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;ST00045;PENNE NAPOLİTAN;0,33;0;Adet;0,33;Adet;MERKEZ;;;;;
;st0000308;YEŞİL BİBER;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000314;ÇERY DOMATES;0,025;0;KİLOGRAM;0,025;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,025;0;ADET;0,025;ADET;MERKEZ;;;;;
;ST00304;ROKA;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000309;LİMON;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00072;PEYNİRLİ TOST;BUR00090;PEYNİRLİ TOST;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000433;TOST EKMEĞİ 1000 GR;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;st0000438;SÜTAŞ TOST PEYNİRİ DİLİMLİ KG ;0,045;0;ADET;0,045;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00074;SUCUKLU KAŞARLI TOST;BUR00092;SUCUKLU KAŞARLI TOST;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000433;TOST EKMEĞİ 1000 GR;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00308;SUCUK;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;st0000438;SÜTAŞ TOST PEYNİRİ DİLİMLİ KG ;0,03;0;ADET;0,03;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00071;KARIŞIK TOST;BUR00094;KARIŞIK TOST;1;MERKEZ;MERKEZ;4.12.2025;MERKEZ;30.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000433;TOST EKMEĞİ 1000 GR;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00309;SALAM;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;ST00308;SUCUK;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;st0000438;SÜTAŞ TOST PEYNİRİ DİLİMLİ KG ;0,03;0;ADET;0,03;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00043;HAMBURGER;BUR00097;HAMBURGER;1;MERKEZ;MERKEZ;5.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000432;HAMBURGER EKMEĞİ BÜFE TİP 6*85 GR;1;0;PAKET;1;PAKET;MERKEZ;;;;;
;st0000281;BURGER BÜFE 90 GR;0,09;0;KİLOGRAM;0,09;KİLOGRAM;MERKEZ;;;;;
;st0000311;ICEBERG;0,05;0;ADET;0,05;ADET;MERKEZ;;;;;
;st0000306;DOMATES;0,08;0;KİLOGRAM;0,08;KİLOGRAM;MERKEZ;;;;;
;st0000227;NO 2 TURŞU;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00052;PİZZA MARGARİTA;BUR00099;PİZZA MARGARİTA;1;MERKEZ;MERKEZ;5.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00303;PİZZA TABANI;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00305;DOMATES SOS;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00051;KARIŞIK PİZZA;BUR00101;KARIŞIK PİZZA;1;MERKEZ;MERKEZ;5.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00303;PİZZA TABANI;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00305;DOMATES SOS;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000308;YEŞİL BİBER;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00308;SUCUK;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;ST00186; DANA SOSİS;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;ST00309;SALAM;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000301;MANTAR;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000028;DONUK MISIR;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000157;DİLİM YEŞİL ZEYTİN ;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00056;PİZZA MENÜ;BUR00104;PİZZA MENÜ;1;MERKEZ;MERKEZ;5.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00303;PİZZA TABANI;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00186; DANA SOSİS;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000301;MANTAR;0,08;0;KİLOGRAM;0,08;KİLOGRAM;MERKEZ;;;;;
;ST00305;DOMATES SOS;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;ST00040;PATATES KIZARTMASI;0,5;0;Adet;0,5;Adet;MERKEZ;;;;;
;st0000344;COCA-COLA KUTU;1;0;ADET;1;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00041;MEVSİM SALATA;BUR00107;MEVSİM SALATA;8;MERKEZ;MERKEZ;5.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000311;ICEBERG;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000310;LOLOROSO ADET ;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000302;MAYDONOZ;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00304;ROKA;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000303;HAVUÇ;0,4;0;KİLOGRAM;0,4;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;0,65;0;KİLOGRAM;0,65;KİLOGRAM;MERKEZ;;;;;
;st0000313;SALATALIK;0,48;0;KİLOGRAM;0,48;KİLOGRAM;MERKEZ;;;;;
;st0000221;TANE MISIR KONS 340 GR;0,4;0;KİLOGRAM;0,4;KİLOGRAM;MERKEZ;;;;;
;st0000309;LİMON;0,3;0;KİLOGRAM;0,3;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,4;0;LİTRE;0,4;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00310;ETLİ KURU FASÜLYE;BUR00109;ETLİ KURU FASÜLYE;120;MERKEZ;MERKEZ;8.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000084;KURU FASÜLYE;10;0;KİLOGRAM;10;KİLOGRAM;MERKEZ;;;;;
;st0000102;KUŞBAŞI;4;0;KİLOGRAM;4;KİLOGRAM;MERKEZ;;;;;
;st0000321;SOĞAN;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;2;0;LİTRE;2;LİTRE;MERKEZ;;;;;
;st0000013;SALÇA;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;st0000308;YEŞİL BİBER;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00311;PİRİNÇ PİLAVI;BUR00111;PİRİNÇ PİLAVI;120;MERKEZ;MERKEZ;8.12.2025;MERKEZ;8.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000058;PİRİNÇ;10;0;KİLOGRAM;10;KİLOGRAM;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,4;0;KİLOGRAM;0,4;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;2;0;LİTRE;2;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000184;KNORR BULYON 5 KG TAVUK;0,08;0;KİLOGRAM;0,08;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00312;KALPLİ BEYAZ KURABİYE;BUR00122;KALPLİ BEYAZ KURABİYE;250;MERKEZ;MERKEZ;9.12.2025;MERKEZ;9.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000130;ALBA SADE 10KG;0,75;0;KİLOGRAM;0,75;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,46;0;LİTRE;0,46;LİTRE;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,6;0;KİLOGRAM;0,6;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,6;0;KİLOGRAM;0,6;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,054;0;KİLOGRAM;0,054;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;2;0;KG;2;KG;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00313;KALPLİ ÇİKOLATALI KURABİYE;BUR00124;KALPLİ ÇİKOLATALI KURABİYE;260;MERKEZ;MERKEZ;9.12.2025;;;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000130;ALBA SADE 10KG;0,75;0;KİLOGRAM;0,75;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,46;0;LİTRE;0,46;LİTRE;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,6;0;KİLOGRAM;0,6;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,6;0;KİLOGRAM;0,6;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,054;0;KİLOGRAM;0,054;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;2;0;KG;2;KG;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,25;0;KİLOGRAM;0,25;KİLOGRAM;MERKEZ;;;;;
;st0000088;KAKAO 1 KG;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00314;CEVİZLİ ÜZÜMLÜ KURABİYE;BUR00126;CEVİZLİ ÜZÜMLÜ KURABİYE;68;MERKEZ;MERKEZ;9.12.2025;MERKEZ;16.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000130;ALBA SADE 10KG;0,25;0;KİLOGRAM;0,25;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,13;0;KİLOGRAM;0,13;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;0,7;0;KG;0,7;KG;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;2;0;ADET;2;ADET;MERKEZ;;;;;
;st0000061;CEVİZ İÇİ;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000086;ÜZÜM NO 10 MM;0,113;0;KİLOGRAM;0,113;KİLOGRAM;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00315;FINDIKLI YUVARLAK KURABİYE;BUR00128;FINDIKLI YUVARLAK KURABİYE;250;MERKEZ;MERKEZ;9.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000062;PUDRA ŞEKERİ DÖKME;0,28;0;KİLOGRAM;0,28;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;4;0;ADET;4;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000089;FINDIK KIRIK 1 KG;0,25;0;KİLOGRAM;0,25;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;1,5;0;KG;1,5;KG;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00316;PEYNİRLİ POĞAÇA;BUR00130;PEYNİRLİ POĞAÇA;840;MERKEZ;MERKEZ;9.12.2025;;;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;2,07;0;LİTRE;2,07;LİTRE;MERKEZ;;;;;
;st0000130;ALBA SADE 10KG;2,25;0;KİLOGRAM;2,25;KİLOGRAM;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;1,8;0;LİTRE;1,8;LİTRE;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;24;0;ADET;24;ADET;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;2,5;0;KG;2,5;KG;MERKEZ;;;;;
;ST00184;LOR PEYNİRİ;5;0;KİLOGRAM;5;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,4;0;LİTRE;0,4;LİTRE;MERKEZ;;;;;
;st0000437;KAYMAKSIZ YOĞURT KOVA KG;0,3;0;ADET;0,3;ADET;MERKEZ;;;;;
;ST00252;SUSAM;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00317;TUZLU KURABİYE;BUR00131;TUZLU KURABİYE;120;MERKEZ;MERKEZ;9.12.2025;MERKEZ;10.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000130;ALBA SADE 10KG;1;0;KİLOGRAM;1;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,4;0;LİTRE;0,4;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;1,6;0;KG;1,6;KG;MERKEZ;;;;;
;st0000159;KABARTMA TOZU 1 KG;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;7;0;ADET;7;ADET;MERKEZ;;;;;
;ST00252;SUSAM;0,15;0;KİLOGRAM;0,15;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000205;MAHLEP;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00318;KANEPE SOSU;BUR00135;;220;MERKEZ;MERKEZ;10.12.2025;MERKEZ;10.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000437;KAYMAKSIZ YOĞURT KOVA KG;0,5;0;ADET;0,5;ADET;MERKEZ;;;;;
;st0000011;MAYONEZ KİLOLUK;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00319;KÖZ BİBERLİ SOS;BUR00137;KÖZ BİBERLİ SOS;110;MERKEZ;MERKEZ;10.12.2025;;;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,025;0;KİLOGRAM;0,025;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,025;0;ADET;0,025;ADET;MERKEZ;;;;;
;st0000110;TOZ BİBER;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,2;0;LİTRE;0,2;LİTRE;MERKEZ;;;;;
;st0000060;KÖZLENMİŞ PATLICAN;0,75;0;KİLOGRAM;0,75;KİLOGRAM;MERKEZ;;;;;
;st0000201;KÖZLENMİŞ KAPYA BİBER;0,75;0;KİLOGRAM;0,75;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00320;HAYDARİ;BUR00139;HAYDARİ;110;MERKEZ;MERKEZ;10.12.2025;;;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000442;SÜZME YOĞURT;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,15;0;LİTRE;0,15;LİTRE;MERKEZ;;;;;
;st0000334;SARIMSAK;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;ST00227;KURU NANE;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00321;SOSLU SOSİS;BUR00141;SOSLU SOSİS;110;MERKEZ;MERKEZ;10.12.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000012;KETÇAP KİLOLUK;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000013;SALÇA;0,025;0;KİLOGRAM;0,025;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000108;KİMYON;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,05;0;LİTRE;0,05;LİTRE;MERKEZ;;;;;
;ST00186; DANA SOSİS;0,3;0;KİLOGRAM;0,3;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00333;RUS SALATASI;BUR00143;RUS SALATASI;110;MERKEZ;MERKEZ;10.12.2025;MERKEZ;15.12.2025;;;
