Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
ST00381;TRİLİÇE;ÇINARLI MENÜ;ADET;120,00;0,00;0,00
ST00382;HAŞHAŞLI REVANİ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00361;TABAK KAHVALTI MENÜ 2;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00362;TABAK KAHVALTI MENÜ 3;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00364;PORTAKALLI KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00388;YAYLA ÇORBASI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00390;FIRINDA BAGET ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00391;ERİŞTE MAKARNA;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00392;İZMİR KÖFTE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00393;MİNİ COOKİE İKRAM;ÇINARLI MENÜ;KİLOGRAM-ADET;0,00;0,00;0,00
ST00394;TAVUK SALATA;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00395;LAVASH LAVAŞ EKMEĞİ;ÇINARLI MENÜ;ADET;0,00;155,00;0,00
ST00229;DOMATES ÇORBASI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00224;ETLİ TÜRLÜ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00225;ARPA ŞEHRİYE PİLAVI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00226;CACIK;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00039;GÜNÜN ÇORBASI;ÇINARLI MENÜ;Adet;0,00;100,00;0,00
ST00040;PATATES KIZARTMASI;ÇINARLI MENÜ;Adet;0,00;100,00;0,00
ST00041;MEVSİM SALATA;ÇINARLI MENÜ;Adet;0,00;130,00;0,00
ST00042;TAVUK IZGARA SALATA;ÇINARLI MENÜ;Adet;0,00;230,00;0,00
ST00043;HAMBURGER;ÇINARLI MENÜ;Adet;0,00;200,00;0,00
ST00044;KREMALI MANTARLI PENNE;ÇINARLI MENÜ;Adet;0,00;200,00;0,00
ST00045;PENNE NAPOLİTAN;ÇINARLI MENÜ;Adet;0,00;150,00;0,00
ST00046;TAVUKLU MANTARLI PENNE;ÇINARLI MENÜ;ADET;0,00;240,00;0,00
ST00047;TAVUK IZGARA;ÇINARLI MENÜ;ADET;0,00;270,00;0,00
ST00048;KÖRİ SOSLU TAVUK ;ÇINARLI MENÜ;Adet;0,00;270,00;0,00
ST00049;KÖFTE DÜRÜM;ÇINARLI MENÜ;Adet;0,00;290,00;0,00
ST00050;MANTAR SOSLU TAVUK;ÇINARLI MENÜ;Adet;0,00;270,00;0,00
ST00051;KARIŞIK PİZZA;ÇINARLI MENÜ;Adet;0,00;280,00;0,00
ST00052;PİZZA MARGARİTA;ÇINARLI MENÜ;Adet;0,00;220,00;0,00
ST00053;IZGARA KÖFTE;ÇINARLI MENÜ;Adet;0,00;290,00;0,00
ST00054;TON BALIKLI SALATA;ÇINARLI MENÜ;Adet;0,00;180,00;0,00
ST00055;GÜNÜN MENÜSÜ ;ÇINARLI MENÜ;Adet;0,00;260,00;0,00
ST00056;PİZZA MENÜ;ÇINARLI MENÜ;ADET;0,00;310,00;0,00
ST00058;PERSONEL HAFTALIK YEMEK;ÇINARLI MENÜ;Adet;0,00;750,00;0,00
ST00059;TEK YEMEK;ÇINARLI MENÜ;Adet;0,00;180,00;0,00
ST00060;TEK YAN ÜRÜN;ÇINARLI MENÜ;Adet;0,00;80,00;0,00
ST00061;ÇAY;ÇINARLI MENÜ;ADET;15,00;15,00;0,00
ST00062;NESCAFE ÇEŞİTLERİ;ÇINARLI MENÜ;ADET;40,00;70,00;40,00
ST00063;SU;ÇINARLI MENÜ;ADET;15,00;15,00;15,00
ST00064;KUTU İÇECEK;ÇINARLI MENÜ;ADET;60,00;70,00;75,00
ST00065;AYRAN;ÇINARLI MENÜ;ADET;30,00;30,00;45,00
ST00066;DUBLE TÜRK KAHVESİ;ÇINARLI MENÜ;ADET;60,00;120,00;0,00
ST00067;SODA ÇEŞİTLERİ;ÇINARLI MENÜ;Adet;0,00;30,00;0,00
ST00068;TÜRK KAHVESİ;ÇINARLI MENÜ;Adet;30,00;60,00;20,00
ST00069;GAZOZ;ÇINARLI MENÜ;Adet;0,00;60,00;0,00
ST00070;DUBLE ÇAY;ÇINARLI MENÜ;Adet;0,00;30,00;0,00
ST00071;KARIŞIK TOST;ÇINARLI MENÜ;Adet;0,00;130,00;0,00
ST00072;PEYNİRLİ TOST;ÇINARLI MENÜ;Adet;0,00;90,00;0,00
ST00073;KAHVALTI;ÇINARLI MENÜ;Adet;80,00;350,00;0,00
ST00074;SUCUKLU KAŞARLI TOST;ÇINARLI MENÜ;Adet;0,00;120,00;0,00
ST00075;TABAK KURU PASTA;ÇINARLI MENÜ;Adet;0,00;70,00;0,00
ST00076;GÜNÜN TATLISI;ÇINARLI MENÜ;Adet;0,00;100,00;0,00
ST00077;KURU PASTA 1 KG;ÇINARLI MENÜ;Adet;0,00;350,00;0,00
ST00078;YOĞURT;ÇINARLI MENÜ;Adet;0,00;40,00;0,00
ST00079;PERSONEL KURU PASTA KG;ÇINARLI MENÜ;Adet;0,00;250,00;0,00
ST00080;KURU PASTA 0,5 KG;ÇINARLI MENÜ;Adet;0,00;150,00;0,00
ST00081;TOP KEK;ÇINARLI MENÜ;Adet;0,00;20,00;0,00
ST00082;CORNETTO ÇİLEK;ÇINARLI MENÜ;Adet;40,00;40,00;0,00
ST00083;CORNETTO ÇİKOLATA;ÇINARLI MENÜ;Adet;40,00;40,00;0,00
ST00084;CORNETTO KAYMAK;ÇINARLI MENÜ;Adet;40,00;40,00;0,00
ST00085;DİSK VANİLYA KARAMEL;ÇINARLI MENÜ;ADET;55,00;55,00;0,00
ST00086;DİSK ANTEP FISTIK ÇİKOLATA;ÇINARLI MENÜ;Adet;55,00;55,00;0,00
ST00087;DİSC OREO;ÇINARLI MENÜ;Adet;55,00;55,00;0,00
ST00088;CORNETTO DİSC MİLKA;ÇINARLI MENÜ;ADET;55,00;55,00;0,00
ST00089;CORNETTO MARAŞ ÜSÜLÜ;ÇINARLI MENÜ;Adet;50,00;50,00;0,00
ST00090;CLASSİC KAKAO;ÇINARLI MENÜ;Adet;20,00;20,00;0,00
ST00091;CLASSSİC VANİLYA;ÇINARLI MENÜ;Adet;20,00;20,00;0,00
ST00092;BOOM BOOM;ÇINARLI MENÜ;Adet;35,00;35,00;0,00
ST00093;MARAŞ CUP;ÇINARLI MENÜ;Adet;30,00;30,00;0,00
ST00094;NOGGER;ÇINARLI MENÜ;Adet;50,00;50,00;0,00
ST00095;FRİGOLA;ÇINARLI MENÜ;Adet;30,00;30,00;0,00
ST00096;MAGNUM BEYAZ;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00097;MAGNUM BADEM;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00098;MAGNUM CLASSİC;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00099;MAGNUM DBL CHILL;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00100;MAGNUM DBL EUPHORİA;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00101;MAGNUM DBL KARADUT;ÇINARLI MENÜ;ADET;65,00;65,00;0,00
ST00102;MAGNUM DBL CHOCOLATE;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00103;MAGNUM COOCKİE;ÇINARLI MENÜ;Adet;65,00;65,00;0,00
ST00104;MAX TWİSTER FOREST;ÇINARLI MENÜ;Adet;15,00;15,00;0,00
ST00105;MAX TWİSTER OCEAN;ÇINARLI MENÜ;Adet;15,00;15,00;0,00
ST00015;KALBURABASTI;ÇINARLI MENÜ;PORSİYON;90,00;0,00;0,00
ST00001;TOP DONDURMA;DONDURMA;Adet;45,00;0,00;0,00
ST00222;CARTE DOR PANTHEON OREO 5.5 LT;DONDURMA;ADET;0,00;0,00;0,00
