id,barcode,product_name,category,unit,purchase_price,unit_price,current_stock,created_at,stok_kodu
5fe311ba-8ce9-4647-bcca-97ce053bd1b5,,CORNETTO DİSC MİLKA,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:29:01.26884+00,ST00088
60096cae-4a23-45de-9c51-5676a5a2e44e,,KAPYA BİBER,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:40.873695+00,st0000323
600b71ef-e0a5-446f-bc01-d44c1ed7a437,,TAVUK BAGET,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:16.309971+00,st0000383
609d044e-3d49-42da-be9b-8235e5d57171,,SUSAMLI ÇUBUK 56GX17,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:34.867665+00,st0000363
60bb41a2-82ba-4738-99d8-0035b3931fdf,,ÇAY TABAĞI,Sarf Malzeme,ADET,0.00,0.00,0,2026-03-15 21:31:19.048887+00,st0000472
610e62d2-edcb-4c92-a856-ae9346a81e89,,IZGARA KÖFTE,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:49.559501+00,ST00053
613b0986-72f7-4669-8e75-972f78cb0f91,8008698005286,SNACK 3*35 GR ÇİKOLATA KAPLI FINDIKLI GOFRET,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:04.291381+00,ST00272
61ae3c7a-2234-467c-958c-a41db9fadef4,,FRAMBUAZLI PUDİNG,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:26.204193+00,ST00238
633645c0-f5bb-46dd-b079-4c244cfe3e74,,FUAR HOTDOG,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:12.478623+00,ST00187
63ec92e5-74a1-4314-822b-4da40adca99e,,PATAT,AYAKÜSTÜ KONAK MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:12.092211+00,ST00036
642354c4-7b1b-4663-bd57-525bcc4ccc2c,,"SPRİTE 2,5 LT",İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:42.028837+00,ST00332
642ca3b6-2f26-4dfa-a564-9c3dfdc08820,,MAX TWİSTER COOL,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:10.787461+00,ST00177
6497a6f3-0127-4da3-af07-aad7b74f369a,,MANTAR SOSLU TAVUK,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:48.52738+00,ST00050
64c9faf1-b345-4528-9fbb-65e2e54ab36f,,KALEM BÖREĞİ SEPETİ,AYAKÜSTÜ KONAK MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:13.451187+00,ST00160
64ff5198-471a-4e3b-a6ed-77c68070b82c,,VENTURA GLASS CAM TEMİZLİK 5 KG,Temizlik Ürünü,ADET,0.00,0.00,0,2026-03-15 21:31:54.590008+00,st0000265
65c96587-a39f-4dad-bd59-f67eb4232f99,,SARIMSAK,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:44.648245+00,st0000334
65f8f9cc-0088-4cfb-8836-5f73c3dafad7,,TEREYAĞ 10GR PİKNİK,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:43.668798+00,st0000135
660109c8-e33d-4e33-9d9a-9e478a2ee59e,,DS NESCAFE 3İN1,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:54.457904+00,ST00175
661a6144-e7e2-46fd-978d-80cb8c10c0f1,,ETİ KREMALI BİSKÜVİ,ATIŞTIRMALIK,ADET,0.00,0.00,0,2026-03-15 21:28:08.707127+00,ST00109
662138f2-db6d-4763-8df0-4aab409db7a5,,HOTDOG,AYAKÜSTÜ KONAK MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:11.751392+00,ST00035
666a56c0-58fa-419c-ab5e-6f6a4a7207f9,8693891195201,ÖNCÜ BİBER SALÇA,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:30:10.220069+00,st0000147
66954cd2-c0a1-4663-8d1f-c275c05472f9,,ÜÇGEN PEYNİR 80 ADET KUTU,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:44.371916+00,st0000137
67018fb9-83bf-4fe9-b670-74fffbf4d324,,UNICOMİX PÜRE 1150 GR KARADUT,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:33.651845+00,st0000300
6702f13c-ff68-4fa9-9de8-b643dd617b3d,,CORNETTO CLASSICO CIKOLATA,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:19.386257+00,st0000391
675c8466-6ea9-4270-8f75-5ae81fed45cd,,ETİ BURÇAK,Hammadde,ADET,0.00,0.00,0,2026-03-15 21:30:26.579782+00,ST00299
6791c50e-7151-4cba-9fa1-2ee4790fe33f,,PERSONEL HAFTALIK YEMEK,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:50.937151+00,ST00058
67cc8443-fed3-4426-800c-b64b15b328e3,8690767670176,KAYMAKSIZ YOĞURT KOVA KG,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:18.994507+00,st0000437
682275c9-d987-4666-a10c-3e8c0ed9e4fa,,PATATES KIZARTMASI,MUTLULUK KAHVESİ MENÜ,ADET,0.00,0.00,0,2026-03-15 21:31:10.24321+00,ST00004
68397777-2302-4032-9378-d1df455184fb,,ETLİ BEZELYE,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:38.976381+00,ST00380
68641fcd-054e-4c1e-88bc-2f1f1e4c3767,,CORNETTO CLASSİC CILEK,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:18.707661+00,st0000389
68694583-c3ad-4d6e-a6e3-f8e69dfc9873,,TAVUK SALATA,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:42.716576+00,ST00394
696a2f68-afb6-455c-b6f0-4c67802e9cbf,,DS COLA,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:55.155931+00,ST00171
699e0ca2-99f3-4dce-b202-79fa108a9b8c,,KAYMAK,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:30:26.238423+00,ST00363
69c62ff9-53eb-4844-b254-d2e3d49d57e1,,ODA PARFÜMÜ SPREY KAVUN,Temizlik Ürünü,ADET,0.00,0.00,0,2026-03-15 21:31:57.702435+00,st0000269
69d75479-4a15-4fed-997f-900a4a13752e,,TAVUK PİRZOLA,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:15.303299+00,st0000380
69fcecf1-8929-4cf9-b1f9-a22519cdb750,,CAPPY PORTAKAL,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:50.693701+00,st0000353
6a377fc3-34b1-4290-93f0-3b655a8d87c7,,PİSUVAR TABLET 100 GR,Temizlik Ürünü,KİLOGRAM,0.00,0.00,0,2026-03-15 21:31:48.462919+00,st0000076
6a612ddf-6333-4fea-a715-da7918db0c76,,MEVSİM SALATA,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:45.44572+00,ST00041
6b200d83-d407-41c8-8f2e-47d62cb40d38,,ÇITIR TAVUKLU SALATA,MUTLULUK KAHVESİ MENÜ,ADET,0.00,0.00,0,2026-03-15 21:31:11.591651+00,ST00008
6b929cd1-9aa2-4104-accb-0d6407454fe2,,BENİMO ÇİKOLATALI,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:38.928471+00,st0000375
6bf991ed-6c06-4a89-97ce-abcb9622e008,,MAGNUM DBL CHILL,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:30.422069+00,st0000424
6c8e67d9-32e7-4a4a-bb8c-6b21fc186ff4,,FUAR SU,İçecek,ADET,0.00,0.00,0,2026-03-15 21:30:57.181923+00,ST00196
6c9035bf-df40-4b88-8009-6fb12888ff4d,8697448890045,NİĞDE GAZOZ,MUTLULUK KAHVESİ İÇECEK,ADET,0.00,0.00,0,2026-03-15 21:30:59.566635+00,ST00031
6cc3056d-987a-4500-bc41-ea104050dc75,,TOPKEK KAK. BSZ 35GX24 TV,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:36.228048+00,st0000367
6d5f7fe2-0c6d-4a7b-93e9-5a8ce1c74f49,,KANEPE SOSU,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:22.297005+00,ST00318
6d8cf2a2-488a-49bd-b63c-9d49be54863a,,SALATALIK SİLOR,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:46.005013+00,st0000338
6dc67da0-e413-4714-8478-ee368f2a4ae9,,KAHVALTI 2,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:19.19601+00,ST00285
6e1ff183-99cf-49f4-9c33-091a099d1d4a,,METALİK PET KAPSÜL 50*39 CM 25Lİ,Sarf Malzeme,ADET,0.00,0.00,0,2026-03-15 21:31:24.895776+00,st0000295
6e759e77-0377-4eb3-b944-f2c9c15e5dc6,,TULUM PEYNİRİ,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:30:27.597941+00,ST00359
6ea3ae42-4ff8-40b0-93c9-12b06c0f294d,,BÜTÜN PİLİÇ,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:16.643839+00,st0000384
6f376137-9a98-4cd1-97bc-b40fa95a5fcd,,ICEBERG,Hammadde,ADET,0.00,0.00,0,2026-03-15 21:29:37.120057+00,st0000311
6fcf8594-1fa0-412c-8377-aed48dc1d523,08697409205123,TAZE FASULYE,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:40.530792+00,st0000322
705a52b5-f643-462d-bfa6-c98d94ee88f6,,SALATALIK,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:37.804168+00,st0000313
71f2ccdc-0204-4822-9ced-7943f25ac35a,,KARNABAHAR,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:29:39.860037+00,st0000320
7233208e-c986-42b4-a605-9c74b45ac1a7,,DOMATESLİ MAKARNA,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:36.256857+00,ST00373
724343f9-b2ed-48e8-bbcc-0354591bcd1f,,MAGNOLİA*,MUTLULUK KAHVESİ MENÜ,ADET,0.00,0.00,0,2026-03-15 21:31:13.975696+00,ST00396
7271cf18-9af2-4c5f-b9e8-405a6ccae625,,CORNETTO KULAH CL MRS US 24X115,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:21.799589+00,st0000399
7311f28a-8321-48c3-9363-6659a673c2f7,,PATATES KIZARTMASI,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:45.105159+00,ST00040
73207216-b677-415c-80a2-819c09fb746f,,MAGNUM CLASSIC,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:25.955864+00,st0000411
7394f24a-67ca-451f-a2f8-33322100011a,,ALGIDA MILKA STICK,Yiyecek,ADET,0.00,0.00,0,2026-03-15 21:32:24.24659+00,st0000406
73e4eab3-429f-46ce-ab9b-18f4a7cf288f,,SICAK ÇİKOLATA,ÇINARLI MENÜ,ADET,0.00,0.00,0,2026-03-15 21:28:28.293146+00,ST00244
7456d9c7-fcc2-492d-a7a4-af4653946487,8697415749208,ÇÖP ŞİŞ KÜRDAN 20 CM,Sarf Malzeme,ADET,0.00,0.00,0,2026-03-15 21:31:33.734395+00,st0000040
7457a30f-3acd-48bd-a682-9f0c4f307eb3,,HAŞHAŞ,Hammadde,KİLOGRAM,0.00,0.00,0,2026-03-15 21:30:27.258743+00,ST00383
