id,name,energy,protein,carbohydrate,fat,unit_price,api_id,category_id,waste_percentage,is_active,user_id,created_at,updated_at,supplier_id,is_piece_based,piece_weight,piece_name
00015105-0163-4122-9247-1cdecd04fc01,CCZ SUGAR KUTU 330ML PXE DYS,0.00,0.00,0.00,0.00,643.63,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:13:57.160502+00,2026-03-16 10:13:57.160502+00,,false,,KG
0146f680-6f9a-4419-9081-7c061cf77792,PATATES,0.00,0.00,0.00,0.00,35.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:18.372939+00,2026-03-16 10:15:18.37294+00,,false,,KG
016ed319-73c7-454a-a1eb-c93f0dd7e0d7,"FAN POR. P2,5L 1X6 LYT'25 UTC",0.00,0.00,0.00,0.00,384.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:06.009394+00,2026-03-16 10:14:06.009394+00,,false,,KG
021cc1c1-ceed-4618-aa96-eddd47c3c991,KNORR BULYON 5 KG DANA,0.00,0.00,0.00,0.00,1840.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:04.855176+00,2026-03-16 10:17:04.855176+00,,true,,Adet
025a8477-b1b1-46f6-9f34-fa0d512fa4e2,PATLICAN,0.00,0.00,0.00,0.00,100.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:20.034737+00,2026-03-16 10:15:20.034737+00,,false,,KG
0297d251-5d7b-493d-9955-8be4d48f4098,SIZDIRMAZ KAP 250 GR,0.00,0.00,0.00,0.00,119.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:32.112708+00,2026-03-16 10:17:32.112709+00,,true,,Adet
0356342a-79db-4852-a4dd-1e445a90a22f,NAR TEKLI SARMA ŞEKER 4 KG,0.00,0.00,0.00,0.00,259.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:12.219044+00,2026-03-16 10:17:12.219044+00,,false,,KG
0431c37f-45f3-48f0-85c9-6b429d6abbc5,N73(BÜYÜK) PENNE BARILLA 2 KG,0.00,0.00,0.00,0.00,144.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:10.523818+00,2026-03-16 10:17:10.523818+00,,true,,Adet
04371cb0-f49d-4bd8-a837-3016f147f8a4,TRAKYAĞ A.YAĞI 18LT,0.00,0.00,0.00,0.00,1630.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:41.25061+00,2026-03-16 10:17:41.250611+00,,false,,KG
0479087b-3371-4869-a98a-034ec014e3e8,MIKROFIBER BEZ,0.00,0.00,0.00,0.00,26.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:08.787665+00,2026-03-16 10:17:08.787666+00,,true,,Adet
05511e13-e249-42d1-a738-79ad51a47b3c,HISAR TÜRK KAH. FOLYO 18X500G,0.00,0.00,0.00,0.00,280.88,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:47.272587+00,2026-03-16 10:10:47.272587+00,,true,,Parça
05ce2401-f3a4-4674-948e-85f4c56ea79f,SUCUK BÜFE 900 GR.,0.00,0.00,0.00,0.00,699.10,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:20:13.14824+00,2026-03-16 10:20:13.14824+00,,true,,Parça
05d9d29e-c849-4352-bc27-630dbf21f216,ASPER,0.00,0.00,0.00,0.00,80.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:57.197281+00,2026-03-16 10:14:57.197282+00,,true,,Parça
06af13b7-512c-4e41-97d5-6215a0ae243b,HEINZ HARDAL MILD 445 GR,0.00,0.00,0.00,0.00,148.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:55.470536+00,2026-03-16 10:16:55.470536+00,,true,,Adet
078be14a-dc72-49d3-8284-efa65114fe25,FINEFOOD ISPANAK 10 KG,0.00,0.00,0.00,0.00,67.50,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:49.495159+00,2026-03-16 10:16:49.495159+00,,false,,KG
08c69c2b-2b18-41c9-916c-19e88476a43b,LİMON LAMAS,0.00,0.00,0.00,0.00,110.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:14.390697+00,2026-03-16 10:15:14.390697+00,,false,,KG
0b180e91-ad28-4503-a0bb-3451926d6fd7,KIL BİBER ACI,0.00,0.00,0.00,0.00,230.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:11.83166+00,2026-03-16 10:15:11.83166+00,,false,,KG
0b77dc45-f96f-4a53-a96f-1826e69f342f,KALIN BULGUR,0.00,0.00,0.00,0.00,29.80,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:59.436063+00,2026-03-16 10:16:59.436063+00,,false,,KG
0c7bd6e7-3480-41a3-8937-de8e4972f733,VENTURA FRESH M (Genel Temizlik Mad.)20 KG.,0.00,0.00,0.00,0.00,598.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:21.825085+00,2026-03-16 10:10:21.825086+00,,false,,KG
0d0ab45d-d29d-49ec-bfc3-c95de1fd5c2e,SİYAH HASPET MUAYENE ELDİVENİ 100 LÜ*20 PK. MİDYUM,0.00,0.00,0.00,0.00,146.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:34.530461+00,2026-03-16 10:17:34.530461+00,,true,,Adet
1106d39c-5c24-4d5d-b755-0880d94c16a8,LİMON,0.00,0.00,0.00,0.00,120.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:13.464408+00,2026-03-16 10:15:13.464409+00,,false,,KG
1114fbea-8429-48e5-8f82-6084509d743b,HAVUÇ,0.00,0.00,0.00,0.00,50.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:06.763596+00,2026-03-16 10:15:06.763597+00,,false,,KG
1387cc6e-e202-47a2-8f8e-3a5092740249,ELMA,0.00,0.00,0.00,0.00,120.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:05.185527+00,2026-03-16 10:15:05.185527+00,,false,,KG
1496077a-7d97-4258-8ac8-f477c8f6c635,MİCROFİBER BEZ,0.00,0.00,0.00,0.00,38.40,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:14.611311+00,2026-03-16 10:10:14.611312+00,,true,,Adet
156cabfd-8af3-4738-80f0-66a5b17c311f,VERDE SIZMA Z.YAĞI 5KG,0.00,0.00,0.00,0.00,1544.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:43.435332+00,2026-03-16 10:17:43.435332+00,,true,,Adet
16bb7bc8-1024-4815-981a-e326a9906940,PIŞIRME KAĞIDI--YAĞLI KAĞIT,0.00,0.00,0.00,0.00,198.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:22.202584+00,2026-03-16 10:17:22.202584+00,,true,,Adet
178ae0b6-79e7-40c3-990a-6ef83108fcbf,SPR KUTU330ML 1X24 2022 DYS,0.00,0.00,0.00,0.00,643.63,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:09.915016+00,2026-03-16 10:14:09.915016+00,,false,,KG
178d23f3-ec78-4d30-99a4-b4fa08560a24,COCA-COLA KUTU 330ML1X24 FIFA26,0.00,0.00,0.00,0.00,643.63,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:13:58.829226+00,2026-03-16 10:13:58.829226+00,,false,,KG
19a27984-1e74-4446-b2bb-53399e83cc47,VENTURA EXTRA ELDE YIK.BUL.DET.20 KG YEŞİL,0.00,0.00,0.00,0.00,594.50,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:21.044173+00,2026-03-16 10:10:21.044173+00,,false,,KG
1a17e593-217e-4d3f-8d00-98271bf07f93,BAHÇIVAN MOZERELLA PEYNIR,0.00,0.00,0.00,0.00,379.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:34.439281+00,2026-03-16 10:16:34.439281+00,,false,,KG
1b0ad17f-37c0-4a5f-95df-1a07d039d899,COCA-COLA KUTU330ML 1X24 SAC25,0.00,0.00,0.00,0.00,635.14,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:13:59.574019+00,2026-03-16 10:13:59.574019+00,,false,,KG
1c73e4f6-b931-4a35-916b-e18d63e64c03,FT SEFT.KT330ML 1X12 REMIX2 DYS,0.00,0.00,0.00,0.00,321.82,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:09.190574+00,2026-03-16 10:14:09.190574+00,,false,,KG
1df56349-e2eb-479f-8191-948e73669c0d,AYSBERK,0.00,0.00,0.00,0.00,90.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:58.124517+00,2026-03-16 10:14:58.124517+00,,true,,Parça
1e419481-fe25-464c-9691-0eaf3bdddc89,ARSLANOĞLU PEYNIR TATLISI,0.00,0.00,0.00,0.00,575.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:32.019486+00,2026-03-16 10:16:32.019487+00,,true,,Adet
1ea2068c-1769-4f23-b7c7-14959cbfd653,PEROS ASPEROX 1000 GR,0.00,0.00,0.00,0.00,52.50,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:19.011222+00,2026-03-16 10:17:19.011222+00,,true,,Adet
1fc12b36-3778-43eb-be23-11260c084af3,BİBER TATLI,0.00,0.00,0.00,0.00,160.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:59.120012+00,2026-03-16 10:14:59.120012+00,,false,,KG
1fe3c420-f7b6-4add-a518-d0f3d8fe29c9,TOZ ŞEKER 50  KG,0.00,0.00,0.00,0.00,1975.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:40.523609+00,2026-03-16 10:17:40.523609+00,,false,,KG
1ffce116-198e-4ef9-a9ab-24c6666de6c1,FILIZ FIYONK 5 KG MAKARNA,0.00,0.00,0.00,0.00,48.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:16:47.835808+00,2026-03-16 10:16:47.835808+00,,false,,KG
207152aa-4879-4d35-a4b8-080b3883dc44,FT LIMON KUTU 330ML RMX2 DYS,0.00,0.00,0.00,0.00,321.82,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:08.453514+00,2026-03-16 10:14:08.453514+00,,false,,KG
