Stok Kodu;Stok Adı;Grubu;Birimi
ST00373;DOMATESLİ MAKARNA;ÇINARLI MENÜ;ADET
ST00374;MERCİMEK ÇORBASI;ÇINARLI MENÜ;ADET
ST00375;GÜNÜN MENÜSÜ SALATASI;ÇINARLI MENÜ;ADET
ST00376;ETLİ KEREVİZ;ÇINARLI MENÜ;ADET
3500376;KAVURMA MAKARNA;ÇINARLI MENÜ;ADET
ST00377;IZGARA KÖFTE GÜN. MEN.;ÇINARLI MENÜ;ADET
ST0378;BULGUR PİLAVI;ÇINARLI MENÜ;ADET
ST00379;ETLİ NOHUT;ÇINARLI MENÜ;ADET
ST00380;ETLİ BEZELYE;ÇINARLI MENÜ;ADET
ST00381;TRİLİÇE;ÇINARLI MENÜ;ADET
ST00382;HAŞHAŞLI REVANİ;ÇINARLI MENÜ;ADET
ST00361;TABAK KAHVALTI MENÜ 2;ÇINARLI MENÜ;ADET
ST00362;TABAK KAHVALTI MENÜ 3;ÇINARLI MENÜ;ADET
ST00364;PORTAKALLI KURABİYE;ÇINARLI MENÜ;ADET
ST00388;YAYLA ÇORBASI;ÇINARLI MENÜ;ADET
ST00390;FIRINDA BAGET;ÇINARLI MENÜ;ADET
ST00391;ERİŞTE MAKARNA;ÇINARLI MENÜ;ADET
ST00392;İZMİR KÖFTE;ÇINARLI MENÜ;ADET
ST00393;MİNİ COOKİE İKRAM;ÇINARLI MENÜ;KİLOGRAM-ADET
ST00394;TAVUK SALATA;ÇINARLI MENÜ;ADET
ST00395;LAVASH LAVAŞ EKMEĞİ;ÇINARLI MENÜ;ADET
ST00229;DOMATES ÇORBASI;ÇINARLI MENÜ;ADET
ST00224;ETLİ TÜRLÜ;ÇINARLI MENÜ;ADET
ST00225;ARPA ŞEHRİYE PİLAVI;ÇINARLI MENÜ;ADET
ST00226;CACIK;ÇINARLI MENÜ;ADET
ST00039;GÜNÜN ÇORBASI;ÇINARLI MENÜ;ADET
ST00040;PATATES KIZARTMASI;ÇINARLI MENÜ;ADET
ST00041;MEVSİM SALATA;ÇINARLI MENÜ;ADET
ST00042;TAVUK IZGARA SALATA;ÇINARLI MENÜ;ADET
ST00043;HAMBURGER;ÇINARLI MENÜ;ADET
ST00044;KREMALI MANTARLI PENNE;ÇINARLI MENÜ;ADET
ST00045;PENNE NAPOLİTAN;ÇINARLI MENÜ;ADET
ST00046;TAVUKLU MANTARLI PENNE;ÇINARLI MENÜ;ADET
ST00047;TAVUK IZGARA;ÇINARLI MENÜ;ADET
ST00048;KÖRİ SOSLU TAVUK;ÇINARLI MENÜ;ADET
ST00049;KÖFTE DÜRÜM;ÇINARLI MENÜ;ADET
ST00050;MANTAR SOSLU TAVUK;ÇINARLI MENÜ;ADET
ST00051;KARIŞIK PİZZA;ÇINARLI MENÜ;ADET
ST00052;PİZZA MARGARİTA;ÇINARLI MENÜ;ADET
ST00053;IZGARA KÖFTE;ÇINARLI MENÜ;ADET
ST00054;TON BALIKLI SALATA;ÇINARLI MENÜ;ADET
ST00055;GÜNÜN MENÜSÜ;ÇINARLI MENÜ;ADET
ST00056;PİZZA MENÜ;ÇINARLI MENÜ;ADET
ST00058;PERSONEL HAFTALIK YEMEK;ÇINARLI MENÜ;ADET
ST00059;TEK YEMEK;ÇINARLI MENÜ;ADET
ST00060;TEK YAN ÜRÜN;ÇINARLI MENÜ;ADET
ST00061;ÇAY;ÇINARLI MENÜ;ADET
ST00062;NESCAFE ÇEŞİTLERİ;ÇINARLI MENÜ;ADET
ST00063;SU;ÇINARLI MENÜ;ADET
ST00064;KUTU İÇECEK;ÇINARLI MENÜ;ADET
ST00065;AYRAN;ÇINARLI MENÜ;ADET
ST00066;DUBLE TÜRK KAHVESİ;ÇINARLI MENÜ;ADET
ST00067;SODA ÇEŞİTLERİ;ÇINARLI MENÜ;ADET
ST00068;TÜRK KAHVESİ;ÇINARLI MENÜ;ADET
ST00069;GAZOZ;ÇINARLI MENÜ;ADET
ST00070;DUBLE ÇAY;ÇINARLI MENÜ;ADET
ST00071;KARIŞIK TOST;ÇINARLI MENÜ;ADET
ST00072;PEYNİRLİ TOST;ÇINARLI MENÜ;ADET
ST00073;KAHVALTI;ÇINARLI MENÜ;ADET
ST00074;SUCUKLU KAŞARLI TOST;ÇINARLI MENÜ;ADET
ST00075;TABAK KURU PASTA;ÇINARLI MENÜ;ADET
ST00076;GÜNÜN TATLISI;ÇINARLI MENÜ;ADET
ST00077;KURU PASTA 1 KG;ÇINARLI MENÜ;ADET
ST00078;YOĞURT;ÇINARLI MENÜ;ADET
ST00079;PERSONEL KURU PASTA KG;ÇINARLI MENÜ;ADET
ST00080;KURU PASTA 0,5 KG;ÇINARLI MENÜ;ADET
ST00081;TOP KEK;ÇINARLI MENÜ;ADET
ST00082;CORNETTO ÇİLEK;ÇINARLI MENÜ;ADET
ST00083;CORNETTO ÇİKOLATA;ÇINARLI MENÜ;ADET
ST00084;CORNETTO KAYMAK;ÇINARLI MENÜ;ADET
ST00085;DİSK VANİLYA KARAMEL;ÇINARLI MENÜ;ADET
ST00086;DİSK ANTEP FISTIK ÇİKOLATA;ÇINARLI MENÜ;ADET
ST00087;DİSC OREO;ÇINARLI MENÜ;ADET
ST00088;CORNETTO DİSC MİLKA;ÇINARLI MENÜ;ADET
ST00089;CORNETTO MARAŞ ÜSÜLÜ;ÇINARLI MENÜ;ADET
ST00090;CLASSİC KAKAO;ÇINARLI MENÜ;ADET
ST00091;CLASSSİC VANİLYA;ÇINARLI MENÜ;ADET
ST00092;BOOM BOOM;ÇINARLI MENÜ;ADET
ST00093;MARAŞ CUP;ÇINARLI MENÜ;ADET
ST00094;NOGGER;ÇINARLI MENÜ;ADET
ST00095;FRİGOLA;ÇINARLI MENÜ;ADET
ST00096;MAGNUM BEYAZ;ÇINARLI MENÜ;ADET
ST00097;MAGNUM BADEM;ÇINARLI MENÜ;ADET
ST00098;MAGNUM CLASSİC;ÇINARLI MENÜ;ADET
ST00099;MAGNUM DBL CHILL;ÇINARLI MENÜ;ADET
ST00100;MAGNUM DBL EUPHORİA;ÇINARLI MENÜ;ADET
ST00101;MAGNUM DBL KARADUT;ÇINARLI MENÜ;ADET
