Stok Kodu;Stok Adı;Grubu;Birimi
st0000179;TARÇIN;Hammadde;KİLOGRAM
st0000162;UFAK BOY-BERRAK KAPARİ 320 ML;Hammadde;LİTRE
st0000163;SEĞMEN KARADUT 5KG;Hammadde;KİLOGRAM
st0000183;KNORR BULYON 5 KG DANA;Hammadde;KİLOGRAM
st0000184;KNORR BULYON 5 KG TAVUK;Hammadde;KİLOGRAM
st0000185;AŞURELİK BUĞDAY;Hammadde;KİLOGRAM
st0000194;ERİŞTE;Hammadde;KİLOGRAM
st0000195;MYS YAVUZ PEYNİR TATLISI 1 KG;Hammadde;KİLOGRAM
st0000196;FESLEĞEN KURU;Hammadde;KİLOGRAM
st0000197;JACOBS FİLTRE MONARCH 500 GR;Hammadde;KİLOGRAM
st0000198;HEINZ KETÇAP 460 GR;Hammadde;KİLOGRAM
st0000199;HEINZ MAYONEZ 420 GR;Hammadde;KİLOGRAM
st0000200;FAVA BAKLA ORTA BOY YERLİ;Hammadde;KİLOGRAM
st0000201;KÖZLENMİŞ KAPYA BİBER;Hammadde;KİLOGRAM
st0000202;CEM DOĞAL YAĞLI SELE SİYAH ZEYTİN;Hammadde;KİLOGRAM
st0000203;BÖRÜLCE;Hammadde;KİLOGRAM
st0000204;İÇ ANTEP FISTIĞI TOZ;Hammadde;KİLOGRAM
st0000205;MAHLEP;Hammadde;KİLOGRAM
st0000020;OVA UN;Hammadde;KG
st0000021;NİŞASTA 10 KG;Hammadde;KİLOGRAM
st0000022;SOYA SOSU;Hammadde;ADET
st0000023;DOĞRANMIŞ DOMATES;Hammadde;KİLOGRAM
st0000024;PLSTK KVA ÇİÇEK KARIŞIK SEBZE TURŞU;Hammadde;KİLOGRAM
st0000025;KALIN BULGUR;Hammadde;KİLOGRAM
st0000027;N73(BÜYÜK) PENNE BARİLLA 2 KG;Hammadde;KİLOGRAM
st0000028;DONUK MISIR;Hammadde;KİLOGRAM
st0000029;FINEFOOD ISPANAK 10 KG;Hammadde;KİLOGRAM
st0000030;RENDE MOZARELLA PEYNİR;Hammadde;KİLOGRAM
ST00365;TATLILAR İÇİN  KREMA 1 LT;Hammadde;LİTRE
ST00366;NAR;Hammadde;KİLOGRAM
ST00363;KAYMAK;Hammadde;KİLOGRAM
ST00299;ETİ BURÇAK;Hammadde;ADET
ST00300;CİCİ BEBE;Hammadde;KİLOGRAM
ST00383;HAŞHAŞ;Hammadde;KİLOGRAM
ST00359;TULUM PEYNİRİ;Hammadde;KİLOGRAM
ST00360;YEŞİL KIRMA ZEYTİN;Hammadde;KİLOGRAM
ST00351;TATLI LOR PEYNİRİ;Hammadde;KİLOGRAM
ST00352;KURU KAYISI;Hammadde;KİLOGRAM
ST00353;KURU İNCİR;Hammadde;KİLOGRAM
ST00349;İSOT;Hammadde;KİLOGRAM
ST00335;KOKTEYL ZEYTİN;Hammadde;KİLOGRAM
ST00336;KÜP MOZERELLA;Hammadde;KİLOGRAM
ST00337;MİNİ TARTOLET;Hammadde;ADET
ST00295;LABNE;Hammadde;KİLOGRAM
ST00296;KEDİ DİLİ;Hammadde;KİLOGRAM
ST00297;BEYAZ ÇİKOLATA KUVERTÜR;Hammadde;KİLOGRAM
ST00303;PİZZA TABANI;Hammadde;ADET
ST00304;ROKA;Hammadde;ADET
ST00305;DOMATES SOS;Hammadde;KİLOGRAM
ST00307;TAVUK IZGARA ÇİĞ;Hammadde;KİLOGRAM
ST00308;SUCUK;Hammadde;KİLOGRAM
ST00309;SALAM;Hammadde;KİLOGRAM
ST00247;BAL;Hammadde;KİLOGRAM
ST0233;SMARTCHOİCE 10*10 FRİES PATATES;Hammadde;KOLİ
ST00289;KURU MAYA;Hammadde;KİLOGRAM
ST00290;ELMALI KURABİYE HARCI;Hammadde;KİLOGRAM
ST00291;ÇİKOLATA SOS;Hammadde;ADET
ST00292;PROFİTEROL HAMURU;Hammadde;ADET
ST00293;PASTACI KREMASI;Hammadde;ADET
ST00283;PİLİÇ NUGGET;Hammadde;KİLOGRAM
ST00252;SUSAM;Hammadde;KİLOGRAM
ST00258;SAKIZ;Hammadde;GRAM
ST00407;SANDVİÇ EKMEĞİ 100 GR*10;Hammadde;PAKET
ST00408;BEYAZ DROP DAMLA ÇİKOLATA;Hammadde;KİLOGRAM
ST00410;PASTIRMA;Hammadde;KİLOGRAM
ST00411;TAVUK BUT KEMİKSİZ;Hammadde;KİLOGRAM
ST00414;SÜTLÜ DROP ÇİKOLATA;Hammadde;KİLOGRAM
ST00401;YUFKA;Hammadde;ADET
ST00387;İRMİK;Hammadde;KİLOGRAM
ST00404;TAZE SOĞAN;Hammadde;ADET
ST00405;PANCAR;Hammadde;ADET
ST00413;NESCAFE CLASSİC;İçecek;ADET
ST328;MEYVE SUYU 1 LT;İçecek;LİTRE
ST00329;MEYVE SUYU 1 LT PORTAKAL;İçecek;LİTRE
ST00330;COCA COLA 2,5 LT;İçecek;ADET
ST00331;FANTA 2,5 LT;İçecek;ADET
ST00332;SPRİTE 2,5 LT;İçecek;ADET
ST00342;YENİ RAKI 1 LT;İçecek;LİTRE
3500343;İSTANBLUE VODKA 1 LT;İçecek;LİTRE
ST00344;KIRMIZI ŞARAP;İçecek;LİTRE
ST00345;BEYAZ ŞARAP;İçecek;LİTRE
ST00118;LATTE;İçecek;ADET
st0000161;BARDAK SU;İçecek;ADET
st0000141;AYRAN 300ML BÜYÜK BOY;İçecek;ADET
st0000105;PINAR SÜT 200 ML;İçecek;ADET
st0000106;LIPTON IHLAMUR ÇAY 12 AD;İçecek;ADET
st0000107;LIPTON NANE-LİMON ÇAY 12 AD;İçecek;ADET
st0000101;DİMES MEYVE SUYU 200ML;İçecek;ADET
ST00032;AYRAN;İçecek;ADET
st0000003;GAZOZ;İçecek;ADET
ST00025;*CAPPUCCİNO;İçecek;ADET
st0000277;NESCAFE GOLD 10 100X2G;İçecek;ADET
st0000278;NESCAFE 3İN1 72X17,5;İçecek;ADET
st0000279;NESCAFE 2IN1 12 56X10G;İçecek;ADET
st0000344;COCA-COLA KUTU;İçecek;ADET
st0000345;COCA COLA ZERO;İçecek;ADET
st0000346;FUTEA MAN-ANNS KUTU 330ML;İçecek;ADET
st0000347;FUTEA LIMON KUTU 330ML;İçecek;ADET
st0000348;FUTEA SEFT.KT 330ML 1X12;İçecek;ADET
st0000349;CAPPY 200 ML TETRAPAK;İçecek;ADET
st0000351;DAMLA SU PET 500 ML;İçecek;ADET
st0000353;CAPPY PORTAKAL;İçecek;ADET
st0000354;FAN POR. KUTU 330 ML C+;İçecek;ADET
st0000355;FUTEA KARPUZ KUTU 330ML;İçecek;ADET
st0000356;CAPPY LİMONATA;İçecek;ADET
st0000357;FUTEA KAVUN ÇİLEK KUTU 330ML;İçecek;KOLİ
st0000358;CAPPY KRSIK SLEEK KUTU 330ML 12'Lİ;İçecek;ADET
st0000359;*CAPPY ŞEFTALİ;İçecek;ADET
st0000360;CAPPY VISNELI;İçecek;ADET
st0000441;SÜT %2,5 YAĞLI 200 ML;İçecek;LİTRE
st0000436;AYRAN 200 ML;İçecek;ADET
ST00174;DS NESCAFE 2İN1;İçecek;ADET
ST00175;DS NESCAFE 3İN1;İçecek;ADET
ST00158;XOX ENERJİ İÇECEĞİ;İçecek;ADET
ST00171;DS COLA;İçecek;ADET
ST00172;DS CAPPY ŞEFTALİ;İçecek;ADET
ST00199;AYRAN 175 ML;İçecek;ADET
ST00193;FUAR COCA COLA;İçecek;ADET
ST00194;FUAR COCA COLA ZERO;İçecek;ADET
ST00195;FUAR AYRAN;İçecek;ADET
ST00196;FUAR SU;İçecek;ADET
st0000352;CAPPY PALPY PORTAKAL PET 330ML;MUTLULUK KAHVESİ İÇECEK;ADET
ST00026;COCA COLA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00027;COLA ZERO;MUTLULUK KAHVESİ İÇECEK;ADET
ST00028;FANTA 330 ML KUTU;MUTLULUK KAHVESİ İÇECEK;ADET
ST00029;SPRİTE;MUTLULUK KAHVESİ İÇECEK;ADET
ST00030;DAMLA SADE SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00031;NİĞDE GAZOZ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00115;ELMALI SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00116;LİMONLU SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00117;KARPUZ - ÇİLEKLİ SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00033;SU;MUTLULUK KAHVESİ İÇECEK;ADET
ST00034;MEYVELİ SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00119;MOCHA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00120;SICAK ÇİKOLATA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00121;FUSE TEA ŞEFTALİ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00122;FUSE TEA LİMON;MUTLULUK KAHVESİ İÇECEK;ADET
ST00123;FUSE TEA KARPUZ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00124;FUSE TEA MANGO ANANAS;MUTLULUK KAHVESİ İÇECEK;ADET
ST00125;FUSE TEA KAVUN ÇİLEK;MUTLULUK KAHVESİ İÇECEK;ADET
ST00126;CAPPY KARIŞIK;MUTLULUK KAHVESİ İÇECEK;ADET
ST00127;CAPPY ŞEFTALİ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00128;CAPPY ATOM;MUTLULUK KAHVESİ İÇECEK;ADET
ST00129;ANANAS MANGOLU SODA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00130;TÜRK KAHVESİ SADE;MUTLULUK KAHVESİ İÇECEK;ADET
ST00131;TÜRK KAHVESİ ORTA;MUTLULUK KAHVESİ İÇECEK;ADET
ST00132;TÜRK KAHVESİ ŞEKERLİ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00020;ÇAY;MUTLULUK KAHVESİ İÇECEK;ADET
ST00021;TÜRK KAHVESİ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00022;DUBLE TÜRK KAHVESİ;MUTLULUK KAHVESİ İÇECEK;ADET
ST00023;ESPRESSO;MUTLULUK KAHVESİ İÇECEK;ADET
ST00024;NESCAFE;MUTLULUK KAHVESİ İÇECEK;ADET
ST00016;KAKOULU CUPCAKE;MUTLULUK KAHVESİ MENÜ;ADET
ST00017;HAVUÇLU CUPCAKE;MUTLULUK KAHVESİ MENÜ;ADET
ST00018;KURU PASTA PORSİYON;MUTLULUK KAHVESİ MENÜ;ADET
ST00019;KURU PASTA ADET;MUTLULUK KAHVESİ MENÜ;ADET
ST00002;KAŞARLI TOST;MUTLULUK KAHVESİ MENÜ;ADET
ST00003;KARIŞIK SICAK TABAK;MUTLULUK KAHVESİ MENÜ;ADET
ST00004;PATATES KIZARTMASI;MUTLULUK KAHVESİ MENÜ;ADET
ST00005;FIRIN MAKARNA;MUTLULUK KAHVESİ MENÜ;ADET
ST00006;PATSO;MUTLULUK KAHVESİ MENÜ;ADET
ST00007;MEVSİM SALATA;MUTLULUK KAHVESİ MENÜ;ADET
ST00008;ÇITIR TAVUKLU SALATA;MUTLULUK KAHVESİ MENÜ;ADET
ST00009;KAŞARLI SOĞUK SANDWİÇ;MUTLULUK KAHVESİ MENÜ;ADET
ST00010;ÇITIR TAVUKLU SANDWİÇ;MUTLULUK KAHVESİ MENÜ;ADET
ST00013;ÇİKOLATALI PASTA;MUTLULUK KAHVESİ MENÜ;ADET
ST00014;FRAMBUAZLI PASTA;MUTLULUK KAHVESİ MENÜ;ADET
ST00133;KAHVALTI TABAĞI;MUTLULUK KAHVESİ MENÜ;ADET
ST00165;İLAVE ÜRÜN KOKTEYL SOSİS;MUTLULUK KAHVESİ MENÜ;ADET
ST00396;MAGNOLİA*;MUTLULUK KAHVESİ MENÜ;ADET
ST00397;PROFİTEROL;MUTLULUK KAHVESİ MENÜ;ADET
ST00398;TİRAMİSU;MUTLULUK KAHVESİ MENÜ;ADET
ST00399;TRİLİÇE*;MUTLULUK KAHVESİ MENÜ;ADET
ST00284;-ELMALI KURABİYE;MUTLULUK KAHVESİ MENÜ;ADET
ST00415;BARDAK COOKİE;MUTLULUK KAHVESİ MENÜ;ADET
ST00412;KÜLTABLASI;Sarf Malzeme;ADET
ST00409;ŞANTİ TORBASI;Sarf Malzeme;ADET
ST00276;LAVABO FIRÇASI;Sarf Malzeme;ADET
ST00231;TÜLBENT BEZ;Sarf Malzeme;METRE
ST00250;24*24 PEÇETE;Sarf Malzeme;KOLİ
ST00251;ÇÖP TORBASI MİNİ;Sarf Malzeme;ADET
ST00367;ÇEKSİL SAPLI;Sarf Malzeme;ADET
ST00368;CAMÇEK;Sarf Malzeme;ADET
st0000471;ÇAY BARDAĞI;Sarf Malzeme;ADET
st0000472;ÇAY TABAĞI;Sarf Malzeme;ADET
st0000465;TERMAL POS RULOSU;Sarf Malzeme;ADET
st0000466;TERMAL RULOSU;Sarf Malzeme;ADET
ST00201;PİZZA KUTUSU;Sarf Malzeme;ADET
ST00210;ÇAKMAK GAZI;Sarf Malzeme;ADET
ST00214;YAĞLI KAĞIT 25*25;Sarf Malzeme;ADET
ST00215;YAĞLI KAĞIT 25*35;Sarf Malzeme;ADET
ST00219;12 KG GAZ;Sarf Malzeme;ADET
ST00220;45 KG GAZ PROPAN;Sarf Malzeme;ADET
ST00223;SELPAK PROFESSİONEL DİSPENSER PEÇETE;Sarf Malzeme;KOLİ
st0000266;BULAŞIK TOP TEL;Sarf Malzeme;ADET
st0000444;HANTAL BOY ÇÖP TORBASI;Sarf Malzeme;KOLİ
st0000250;MUAYENE ELDİVEN NİTRİL MAVİ/M-L;Sarf Malzeme;ADET
st0000291;PET KAPSÜL 50*39 50 ADET;Sarf Malzeme;ADET
st0000292;PET KAPSÜL 44*35 50 ADET;Sarf Malzeme;ADET
st0000293;PET KAPSÜL 38*30 50 ADET;Sarf Malzeme;ADET
st0000294;MUFFIN PİŞİRME KABI 24LÜ 50X43CM;Sarf Malzeme;ADET
st0000295;METALİK PET KAPSÜL 50*39 CM 25Lİ;Sarf Malzeme;ADET
st0000296;BENS GOLD KAPSÜL 50X39 25Lİ;Sarf Malzeme;ADET
st0000297;AMERİKAN 50*35 KAPSÜL 24 ADET;Sarf Malzeme;ADET
st0000298;PET KAPSÜL 62*40 50 ADET;Sarf Malzeme;ADET
st0000243;33*33 1/8 KATLAMA BEYAZ PEÇETE;Sarf Malzeme;ADET
st0000244;ENDÜSTRİYEL SÜNGER;Sarf Malzeme;ADET
st0000241;İÇTEN ÇEKMELİ HAVLU 6'LI;Sarf Malzeme;ADET
st0000247;ÇÖP TORBASI JUMBO DÖKME SİYAH 80*110;Sarf Malzeme;KİLOGRAM
st0000253;TUVALET KAĞIDI 72'Lİ BELLEZA;Sarf Malzeme;ADET
st0000237;MİCROFİBER BEZ;Sarf Malzeme;ADET
st0000209;KAĞITLI PİPET;Sarf Malzeme;ADET
st0000233;JAPON KÜRDAN;Sarf Malzeme;ADET
st0000228;L MUAYENE ELDİVENİ BEYAZ;Sarf Malzeme;ADET
st0000229;FROZEN 95/300 BARDAK;Sarf Malzeme;ADET
st0000230;FROZEN ÇAP 99 DELİKLİ KAPAK;Sarf Malzeme;ADET
st0000211;SIZDIRMAZ KAP 1500 GR;Sarf Malzeme;ADET
st0000193;PLASTİK ÇATAL 100 LÜ;Sarf Malzeme;PAKET
st0000031;KARIŞTIRICI;Sarf Malzeme;ADET
st0000032;SİYAH HASPET MUAYENE ELDİVENİ 100'LÜ;Sarf Malzeme;PKT.
st0000033;STREÇ FİLM;Sarf Malzeme;ADET
st0000034;IKRAM SETİ 5*1 ADET;Sarf Malzeme;PAKET
st0000035;4 OZ BARDAK;Sarf Malzeme;ADET
st0000036;KARTON BARDAK 6,5 OZ KOLİ 3000 ADET;Sarf Malzeme;ADET
st0000037;PASTA KUTUSU;Sarf Malzeme;ADET
st0000038;KARTON KÜLAH;Sarf Malzeme;ADET
st0000039;SANDIVIÇ KAĞIT HAMUR;Sarf Malzeme;KİLOGRAM
st0000040;ÇÖP ŞİŞ KÜRDAN 20 CM;Sarf Malzeme;ADET
st0000041;ISLAK KOLONYALI MENDİL KOLİ 1000 ADET;Sarf Malzeme;KOLİ
st0000042;NAYLON TORBA;Sarf Malzeme;PAKET
st0000043;PİŞİRME KAĞIDI - YAĞLI KAĞIT;Sarf Malzeme;ADET
st0000044;FROZEN PİPET;Sarf Malzeme;PAKET
st0000045;SIZDIRMAZ KAP 250 GR;Sarf Malzeme;ADET
st0000046;8-B KÖPÜK KAP;Sarf Malzeme;ADET
st0000047;KARTON ÇORBA KASE 16 OZ;Sarf Malzeme;KOLİ
st0000048;7 OZ KARTON BARDAK;Sarf Malzeme;ADET
st0000049;SELPAK SENSÖR HAREKETLİ HAVLU 70 MT;Sarf Malzeme;ADET
st0000050;KARTON KUMPİR 100'LÜ PAKET;Sarf Malzeme;ADET
st0000051;8 OZ BARDAK;Sarf Malzeme;ADET
st0000055;ALÜMİNYUM KASE 1500 GR + KAPAK;Sarf Malzeme;PAKET
st0000066;SIZDIRMAZ 500 GR;Sarf Malzeme;ADET
st0000067;GARSON KATLAMA PEÇETE 33-31;Sarf Malzeme;ADET
st0000064;ALÜMİNYUM 2 GÖZLÜ KASE + KAPAK;Sarf Malzeme;PAKET
st0000112;SALATA KASESİ KAPAĞI;Sarf Malzeme;ADET
st0000113;SALATA KASESİ SİYAH;Sarf Malzeme;ADET
st0000125;JUMBO ÇÖP TORBASI 400 GR;Sarf Malzeme;KOLİ
st0000118;1050 CC LUNCH BOX KRAFT 300 ADET;Sarf Malzeme;ADET
st0000119;33-B KÖPÜK TABAK;Sarf Malzeme;ADET
st0000120;KARTON ÇORBA KASE 16 OZ 25'Lİ;Sarf Malzeme;ADET
st0000121;İÇTEN ÇEKMELİ HAVLU;Sarf Malzeme;KOLİ
st0000128;KILIÇ KÜRDAN;Sarf Malzeme;ADET
st0000153;SELPAK DİSPENSIR Z KATLI;Sarf Malzeme;ADET
st0000115;PLASTİK KAŞIK 100 LÜ;Sarf Malzeme;PAKET
st0000155;DİSPENSER PEÇETE;Sarf Malzeme;ADET
st0000206;AYAKLI KRİSTAL KASE+KAPAK 200ML;Sarf Malzeme;ADET
st0000186;KORAPLAST JUMBO ÇÖP TORBASI;Sarf Malzeme;ADET
st0000164;SUB KASE;Sarf Malzeme;ADET
st0000181;NAYLON TORBA ORTA;Sarf Malzeme;KİLOGRAM
st0000182;NAYLON TORBA BÜYÜK;Sarf Malzeme;KİLOGRAM
st0000187;KOSTİK 25 KG;Temizlik Ürünü;KİLOGRAM
st0000207;ÇAMAŞIR SUYU;Temizlik Ürünü;KİLOGRAM
st0000154;GENEL TEMİZLİK 1 KG;Temizlik Ürünü;KİLOGRAM
st0000180;SIVI EL SABUNU 5 LT;Temizlik Ürünü;ADET
st0000174;CİF KREM;Temizlik Ürünü;KİLOGRAM
st0000114;OMO MATİK 10 KG;Temizlik Ürünü;KİLOGRAM
st0000068;PRİL 4 KG;Temizlik Ürünü;KİLOGRAM
st0000069;ÇAMAŞIR SUYU 5 LT;Temizlik Ürünü;LİTRE
st0000071;MİKROFİBER BEZ;Temizlik Ürünü;ADET
st0000072;MOP YEDEK;Temizlik Ürünü;ADET
st0000075;BREF POWER AKTİF 4'LÜ;Temizlik Ürünü;ADET
st0000076;PİSUVAR TABLET 100 GR;Temizlik Ürünü;KİLOGRAM
st0000077;ASKILI KOKU GİDERİCİ;Temizlik Ürünü;ADET
st0000081;FARAŞLI SÜPÜRGE;Temizlik Ürünü;ADET
st0000082;MOP YEDEK NEMLİ;Temizlik Ürünü;ADET
st0000219;PRENS GENEL TEMİZLİK 30 LT;Temizlik Ürünü;LİTRE
st0000176;YAĞÇÖZ 5 LT;Temizlik Ürünü;LİTRE
st0000238;VENTURA GRİLL FIRIN TEM.MAD. 5 KG;Temizlik Ürünü;ADET
st0000239;VENTURA ULTRA CLOR ÇMŞR. SYU 5 LT;Temizlik Ürünü;ADET
st0000240;BULAŞIK ELDİVENİ;Temizlik Ürünü;ADET
st0000254;CAMSİL;Temizlik Ürünü;ADET
st0000255;VENTURA BULAŞIK MAK DTRJAN 20KG;Temizlik Ürünü;ADET
st0000256;VENTURA RİNSE PARLATICI;Temizlik Ürünü;ADET
st0000257;VENTURA MATİK 25 KG ENDÜSTRİYEL;Temizlik Ürünü;ADET
st0000258;HİDROKLORİK ASİT TUZ RUHU;Temizlik Ürünü;LİTRE
st0000259;ARAP SABUNU KATI;Temizlik Ürünü;KİLOGRAM
st0000261;VENTURA CONTRA KİREÇ ÇÖZ 20 KG;Temizlik Ürünü;ADET
st0000262;FEBREZE AEROSOL ODA PARFÜMÜ;Temizlik Ürünü;ADET
st0000264;VENTURA SOİL AĞIR YAĞ SÖKÜCÜ;Temizlik Ürünü;ADET
st0000265;VENTURA GLASS CAM TEMİZLİK 5 KG;Temizlik Ürünü;ADET
st0000248;VENTURA ELDE YIK.BUL.DET.5KG;Temizlik Ürünü;ADET
st0000249;VENTURA CONTRA 5 KG;Temizlik Ürünü;ADET
st0000242;CİF SPREY KREM TÜM YÜZEYLER;Temizlik Ürünü;LİTRE
st0000245;KİREÇ ÇÖZÜCÜ 1KG;Temizlik Ürünü;LİTRE
st0000246;VENTURA EXTRA ELDE YIK.BUL.DET.20KG;Temizlik Ürünü;ADET
st0000251;GENEL TEMİZLİK 5 KG;Temizlik Ürünü;LİTRE
st0000252;SIVI SABUN 1 LT;Temizlik Ürünü;LİTRE
st0000268;LAVABO AÇICI 1 KG;Temizlik Ürünü;KİLOGRAM
st0000269;ODA PARFÜMÜ SPREY KAVUN;Temizlik Ürünü;ADET
ST00230;PASPAS KOVA+KEP EKOSET;Temizlik Ürünü;ADET
ST00217;VENTURA FRESH M (Genel Temizlik Md.) 20 KG;Temizlik Ürünü;ADET
ST00218;PİSUVAR KOKU GİDERİCİ NANO;Temizlik Ürünü;ADET
ST00213;SOPALI FIRÇA;Temizlik Ürünü;ADET
st0000271;VENTURA CROM METAL PRLTICI 750 ML;Temizlik Ürünü;ADET
ST00232;ALGİDA VİENETTA STİCK;Yiyecek;ADET
ST00233;ALGİDA MİNECRAFT STİCK;Yiyecek;ADET
ST00260;MİX B 1000 GR EKMEK UNU;Yiyecek;ADET
ST00261;MİX C 1000 GR KEK PASTA UNU;Yiyecek;ADET
ST00262;PAN BLANCO 250 GR DİLİMLİ EKMEK;Yiyecek;ADET
ST00263;PAN RUSTİCO 250 GR LİFLİ EKMEK;Yiyecek;ADET
ST00264;CIVITA 450 GR FUSILLI MAKARNA;Yiyecek;ADET
ST00265;CIVITA 450 GR SPAGETTİ MAKARNA;Yiyecek;ADET
ST00267;CURVİES PAPRİKA 170 GR CİPS;Yiyecek;ADET
ST00268;CURVİES ORGİNAL 170 GR CİPS;Yiyecek;ADET
ST00269;CHOCOTTİ 70 GR;Yiyecek;ADET
ST00270;PAUSA CİOK KAKAO KAPLAMALI KEK 35 GR;Yiyecek;ADET
ST00271;QUİNOTTİ 40 GR KİNOALI HALKA KRAKER;Yiyecek;ADET
ST00272;SNACK 3*35 GR ÇİKOLATA KAPLI FINDIKLI GOFRET;Yiyecek;ADET
ST00273;MİNİ SORİSİNİ 100 GR KAYMAKLI ÇİKOLATALI BİSKÜVİ;Yiyecek;ADET
ST00274;GLÜTENSİZ ADA TUZLU KRAKER;Yiyecek;ADET
ST00275;GLÜTENSİZ ADA SUSAMLI ÇUBUK KRAKER;Yiyecek;ADET
ST00294;PROFİTEROL CUP;Yiyecek;ADET
ST00278;PİŞİ TABAĞI;Yiyecek;ADET
ST00279;TEKLİ PİŞİ;Yiyecek;ADET
ST00280;ÜÇGEN PEYNİR;Yiyecek;ADET
ST00281;PİKNİK ZEYTİN;Yiyecek;ADET
ST00301;MAGNOLİA;Yiyecek;ADET
ST00298;TİRAMİSU CUP;Yiyecek;ADET
ST00406;PEMBE KALPLİ KURABİYE;Yiyecek;ADET
ST00216;SİYAH ÜZÜM;Yiyecek;KİLOGRAM
ST00203;CDO PANTHEON KARADUT 5.5LT;Yiyecek;ADET
ST00204;CDO PANTHEON VANİLYA 5,5 LT;Yiyecek;ADET
ST00167;POPKEK LİMONLU;Yiyecek;ADET
st0000469;MİSKET MOZARELLA 3KG;Yiyecek;KİLOGRAM
st0000470;NAR KESME ŞEKER 750 GR;Yiyecek;ADET
ST00176;ALGİDA GÖKKUŞAĞI;Yiyecek;ADET
ST00177;MAX TWİSTER COOL;Yiyecek;ADET
ST00178;ALGİDA CLASSİCS ANTEP FISTIĞI;Yiyecek;ADET
ST00179;ALGİDA VOLKANO;Yiyecek;ADET
ST00180;ALGİDA MİLKA;Yiyecek;ADET
ST00181;ALGİDA CORNETTO KEYİF;Yiyecek;ADET
ST00187;FUAR HOTDOG;Yiyecek;ADET
ST00188;FUAR PATSO;Yiyecek;ADET
ST00189;FUAR PATAT;Yiyecek;ADET
ST00190;FUAR ÇITIR TAVUKLU PATAT;Yiyecek;ADET
ST00191;FUAR FRAMBUAZLI PUDİNG;Yiyecek;ADET
ST00192;FUAR ÇİKOLATALI PUDİNG;Yiyecek;ADET
st0000270;TUTKU 100GX24 KL;Yiyecek;ADET
st0000456;ALGİDA KÜLAH 1*960 GR;Yiyecek;KOLİ
st0000457;CDO PANTHEON KAVUN 5.5LT;Yiyecek;ADET
st0000458;CDO PANTHEON LİMON 5.5LT;Yiyecek;ADET
st0000459;CDO PANTHEON ANTEP 5.5LT;Yiyecek;ADET
st0000460;CDO PANTHEON KARAMEL 5.5LT;Yiyecek;ADET
st0000462;CRAX SADE ÇUBUK KRAKER;Yiyecek;ADET
st0000463;GONG 40GX18 DP;Yiyecek;ADET
st0000464;TUTKU 100GX24 KL;Yiyecek;ADET
st0000386;ÇİKOLATALI PASTA;Yiyecek;ADET
st0000387;MEYVELİ PASTA;Yiyecek;ADET
st0000388;DÜĞÜN PASTASI KARE;Yiyecek;ADET
st0000389;CORNETTO CLASSİC CILEK;Yiyecek;ADET
st0000390;CORNETTO CLASSICO KAYMAK;Yiyecek;ADET
st0000391;CORNETTO CLASSICO CIKOLATA;Yiyecek;ADET
st0000392;CORNETTO DISC CHOCO-COFFEE;Yiyecek;ADET
st0000393;CORNETTO DISC MAX CIKOLATA;Yiyecek;ADET
st0000394;CORNETTO DISC MAX MANGO;Yiyecek;ADET
st0000395;CORNETTO DISC VANİLYA-KARAMEL;Yiyecek;ADET
st0000397;CORNETTO DISC OREO;Yiyecek;ADET
st0000398;CORNETTO KYF CL COKO-VAN 24X110;Yiyecek;ADET
st0000399;CORNETTO KULAH CL MRS US 24X115;Yiyecek;ADET
st0000400;ALGIDA KLASİK STİCK KAKAO;Yiyecek;ADET
st0000401;ALGIDA KLASİK STİCK VANİLYA;Yiyecek;ADET
st0000402;ALGIDA KLASİK STİCK FISTIK;Yiyecek;ADET
st0000403;ALGIDA BOOM BOOM;Yiyecek;ADET
st0000404;ALGIDA BOOM BOOM GOLD;Yiyecek;ADET
st0000405;ALGIDA NOGGER SANDWICH;Yiyecek;ADET
st0000406;ALGIDA MILKA STICK;Yiyecek;ADET
st0000407;ALGIDA STİCK FRIGOLA;Yiyecek;ADET
st0000408;ALGIDA VOLCANO STICK;Yiyecek;ADET
st0000409;MAGNUM BEYAZ;Yiyecek;ADET
st0000410;MAGNUM BADEM;Yiyecek;ADET
st0000411;MAGNUM CLASSIC;Yiyecek;ADET
st0000412;MAGNUM UTOPHIA KARAMEL BADEM;Yiyecek;ADET
st0000413;MAGNUM UTOPHIA AHUDUDU BÖĞÜRTLEN;Yiyecek;ADET
st0000414;MAGNUM DOUBLE KARADUT;Yiyecek;ADET
st0000415;MAGNUM DOUBLE CHOCOLATE;Yiyecek;ADET
st0000416;MAGNUM COOKIE;Yiyecek;ADET
