Stok Kodu,Stok Adı,Grubu,Birimi,MUTLULUK KAHVELERİ,ÇINARLI,AYAKÜSTÜ,MatchedIngredientName,MatchedPrice,SimScore,NeedsReview
ST00026,COCA COLA,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","0,00","75,00",COCA-COLA KUTU 330ML1X24 FIFA26,643.63,100,0
ST00027,COLA ZERO,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","75,00",COCA-COLA KUTU 330ML1X24 FIFA26,643.63,61,1
ST00028,FANTA 330 ML KUTU,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","0,00","75,00",AYRAN 300 ML. EDT,13.1,60,1
ST00029,SPRİTE,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","75,00",PRİL,213.0,60,1
ST00030,DAMLA SADE SODA,MUTLULUK KAHVESİ İÇECEK,ADET,"30,00","30,00","30,00",DAMLA MN.SADE OWB S200 DYS,172.26,80,1
ST00031,NİĞDE GAZOZ,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","40,00","0,00",PINAR MAYONEZ 700 GR,66.0,38,1
ST00115,ELMALI SODA,MUTLULUK KAHVESİ İÇECEK,ADET,"35,00","0,00","35,00",LİMON LAMAS,110.0,54,1
ST00116,LİMONLU SODA,MUTLULUK KAHVESİ İÇECEK,ADET,"35,00","0,00","35,00",LİMON,120.0,58,1
ST00117,KARPUZ - ÇİLEKLİ SODA,MUTLULUK KAHVESİ İÇECEK,ADET,"35,00","0,00","35,00",FT KARPUZ KUTU 330ML REMIX DYS,321.82,48,1
ST00033,SU,MUTLULUK KAHVESİ İÇECEK,Adet,"15,00","15,00","15,00",19 LT DAMACAN SU,118.81,100,0
ST00034,MEYVELİ SODA,MUTLULUK KAHVESİ İÇECEK,Adet,"35,00","0,00","35,00",ÇERİ DOMATES,100.0,41,1
ST00119,MOCHA,MUTLULUK KAHVESİ İÇECEK,Adet,"75,00","0,00","75,00",ELMA,120.0,44,1
ST00120,SICAK ÇİKOLATA,MUTLULUK KAHVESİ İÇECEK,Adet,"75,00","0,00","50,00",DERECIK SIRKE 2 LT *9AD,41.0,48,1
ST00121,FUSE TEA ŞEFTALİ,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","70,00","75,00",SÜT YARIM YAĞLI 1 L,34.41,45,1
ST00122,FUSE TEA LİMON,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","70,00","75,00",LİMON,120.0,100,0
ST00123,FUSE TEA KARPUZ,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","70,00","75,00",FT KARPUZ KUTU 330ML REMIX DYS,321.82,57,1
ST00124,FUSE TEA MANGO ANANAS,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","70,00","75,00",DAMLA MN.SADE OWB S200 DYS,172.26,42,1
ST00125,FUSE TEA KAVUN ÇİLEK,MUTLULUK KAHVESİ İÇECEK,ADET,"60,00","70,00","75,00",TOZ ŞEKER 50  KG,1975.0,40,1
ST00126,CAPPY KARIŞIK,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","75,00",CAPPY KRSIK SLEEK KUTU330ML VIS,321.82,55,1
ST00127,CAPPY ŞEFTALİ,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","75,00",CAPPY KRSIK SLEEK KUTU330ML VIS,321.82,55,1
ST00128,CAPPY ATOM,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","75,00",CAPPY KRSIK SLEEK KUTU330ML VIS,321.82,66,1
ST00129,ANANAS MANGOLU SODA,MUTLULUK KAHVESİ İÇECEK,Adet,"35,00","0,00","35,00",DAMLA MN.SADE OWB S200 DYS,172.26,44,1
ST00130,TÜRK KAHVESİ SADE,MUTLULUK KAHVESİ İÇECEK,Adet,"30,00","40,00","0,00",NESCAFE CLASSIC Tin SR 6x1kg,1368.96,44,1
ST00131,TÜRK KAHVESİ ORTA,MUTLULUK KAHVESİ İÇECEK,Adet,"30,00","40,00","0,00",BAHÇIVAN MOZERELLA PEYNIR,379.0,42,1
ST00132,TÜRK KAHVESİ ŞEKERLİ,MUTLULUK KAHVESİ İÇECEK,Adet,"30,00","40,00","0,00",NAR TEKLI SARMA ŞEKER 4 KG,259.0,52,1
ST00020,ÇAY,MUTLULUK KAHVESİ İÇECEK,Adet,"15,00","15,00","0,00",AYSBERK,90.0,40,1
ST00021,TÜRK KAHVESİ,MUTLULUK KAHVESİ İÇECEK,Adet,"30,00","40,00","0,00",HISAR TÜRK KAH. FOLYO 18X500G,280.88,50,1
ST00022,DUBLE TÜRK KAHVESİ,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","80,00","0,00",HISAR TÜRK KAH. FOLYO 18X500G,280.88,43,1
ST00023,ESPRESSO,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","60,00",LOLOROSSO,90.0,47,1
ST00024,NESCAFE,MUTLULUK KAHVESİ İÇECEK,Adet,"60,00","0,00","60,00",NESCAFE CLASSIC Tin SR 6x1kg,1368.96,100,0
